date,views,destination
2024-05-01,299,Gal Oya
2024-06-01,252,Gal Oya
2024-07-01,255,Gal Oya
2024-08-01,253,Gal Oya
2024-09-01,209,Gal Oya
2024-10-01,283,Gal Oya
2024-11-01,272,Gal Oya
2024-12-01,291,Gal Oya
2025-01-01,374,Gal Oya
2025-02-01,233,Gal Oya
2025-03-01,361,Gal Oya
2025-04-01,259,Gal Oya
2025-05-01,234,Gal Oya
2025-06-01,207,Gal Oya
2025-07-01,239,Gal Oya
2025-08-01,246,Gal Oya
2025-09-01,184,Gal Oya
2025-10-01,217,Gal Oya
2025-11-01,233,Gal Oya
2025-12-01,215,Gal Oya
2026-01-01,267,Gal Oya
2026-02-01,218,Gal Oya
2026-03-01,243,Gal Oya
2026-04-01,194,Gal Oya
2026-05-01,248,Gal Oya
2026-06-01,197,Gal Oya
2026-07-01,226,Gal Oya
