destination,year,month,crowd_risk_level,crowd_score_0_100,crowd_ratio,social_media_sentiment,trending,is_off_season,event_note,recommendation_action,model_used
Horton Plains,2024,11,MEDIUM,44.4,0.4439,0.693,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2024,11,LOW,37.6,0.3763,0.454,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2024,11,MEDIUM,67.0,0.6705,0.567,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2024,11,MEDIUM,53.1,0.5306,0.647,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2024,12,MEDIUM,66.2,0.6625,0.648,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2024,12,MEDIUM,69.9,0.6994,0.645,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2024,12,HIGH,79.5,0.7946,0.86,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2024,12,MEDIUM,63.1,0.6314,0.594,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2024,12,MEDIUM,56.5,0.5651,0.586,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2024,12,HIGH,84.7,0.8473,0.877,1,0,Whale watching peak season,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2024,12,HIGH,79.9,0.7986,0.85,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2024,12,HIGH,77.9,0.7788,0.772,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2024,12,LOW,13.9,0.1393,0.388,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2024,12,LOW,21.4,0.2139,0.378,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2024,12,MEDIUM,49.4,0.4942,0.652,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2024,12,MEDIUM,40.5,0.4053,0.663,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2024,12,MEDIUM,54.7,0.5469,0.637,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2024,12,MEDIUM,59.8,0.5978,0.695,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2024,12,MEDIUM,53.5,0.5354,0.615,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2024,12,HIGH,86.8,0.8679,0.682,1,0,Pilgrimage season opens (Unduvap Poya),redirect,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2024,12,MEDIUM,50.8,0.5083,0.732,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2024,12,MEDIUM,45.5,0.4545,0.635,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2024,12,HIGH,74.1,0.7408,0.839,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2024,12,HIGH,83.1,0.8308,0.887,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2025,1,MEDIUM,57.6,0.5763,0.593,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2025,1,MEDIUM,66.2,0.6622,0.662,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2025,1,HIGH,78.9,0.789,0.735,0,0,Galle Literary Festival,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2025,1,MEDIUM,43.5,0.4355,0.585,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2025,1,MEDIUM,52.0,0.5205,0.703,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2025,1,HIGH,82.0,0.8197,0.909,1,0,Whale watching peak season,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2025,1,HIGH,80.3,0.8031,0.768,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2025,1,HIGH,80.7,0.8071,0.852,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2025,1,LOW,14.2,0.1422,0.439,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2025,1,LOW,23.9,0.2391,0.367,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2025,1,LOW,36.6,0.3662,0.565,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2025,1,LOW,27.9,0.279,0.484,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2025,1,MEDIUM,46.4,0.4644,0.621,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2025,1,MEDIUM,53.4,0.5337,0.598,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2025,1,MEDIUM,52.1,0.5213,0.6,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2025,1,HIGH,93.2,0.9324,0.817,1,0,Peak pilgrimage season,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2025,1,MEDIUM,57.3,0.5731,0.596,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2025,1,LOW,34.0,0.3399,0.495,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2025,1,MEDIUM,66.6,0.6663,0.591,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2025,1,HIGH,70.3,0.7035,0.865,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2025,2,MEDIUM,55.0,0.5499,0.683,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2025,2,HIGH,72.5,0.7252,0.854,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2025,2,HIGH,76.9,0.7695,0.712,0,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2025,2,LOW,38.6,0.3858,0.453,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2025,2,MEDIUM,50.6,0.5065,0.596,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2025,2,HIGH,87.7,0.8771,0.72,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2025,2,HIGH,81.7,0.8173,0.747,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2025,2,HIGH,75.5,0.7546,0.823,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2025,2,LOW,17.2,0.1723,0.427,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2025,2,LOW,31.5,0.3151,0.415,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2025,2,LOW,31.3,0.3125,0.382,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2025,2,LOW,26.7,0.2669,0.536,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2025,2,MEDIUM,43.8,0.4382,0.602,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2025,2,MEDIUM,59.7,0.5967,0.638,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2025,2,MEDIUM,50.9,0.5093,0.614,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2025,2,HIGH,85.4,0.8537,0.811,1,0,Peak pilgrimage season,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2025,2,MEDIUM,65.6,0.6562,0.665,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2025,2,LOW,38.6,0.3864,0.425,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2025,2,MEDIUM,60.5,0.6049,0.624,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2025,2,HIGH,73.4,0.7342,0.795,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2025,3,MEDIUM,62.9,0.629,0.775,1,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2025,3,HIGH,73.0,0.7305,0.8,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2025,3,HIGH,76.3,0.7632,0.796,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2025,3,MEDIUM,43.1,0.4311,0.59,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2025,3,MEDIUM,58.9,0.5892,0.629,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2025,3,HIGH,78.1,0.7807,0.921,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2025,3,HIGH,76.2,0.7623,0.807,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2025,3,HIGH,72.9,0.729,0.687,0,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2025,3,LOW,30.4,0.3035,0.496,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2025,3,MEDIUM,41.7,0.4167,0.719,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2025,3,LOW,38.6,0.3864,0.425,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2025,3,LOW,33.0,0.3301,0.586,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2025,3,MEDIUM,52.5,0.5247,0.665,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2025,3,MEDIUM,50.8,0.5081,0.599,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2025,3,MEDIUM,50.0,0.4999,0.599,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2025,3,HIGH,70.3,0.7025,0.791,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2025,3,MEDIUM,56.3,0.5632,0.67,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2025,3,MEDIUM,44.2,0.4418,0.619,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2025,3,MEDIUM,59.2,0.5919,0.591,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2025,3,MEDIUM,63.6,0.6356,0.673,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2025,4,MEDIUM,57.1,0.5708,0.595,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2025,4,MEDIUM,64.7,0.647,0.731,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2025,4,MEDIUM,61.2,0.6124,0.763,1,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2025,4,MEDIUM,52.9,0.5287,0.575,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2025,4,HIGH,86.6,0.8655,0.91,1,0,April Season - New Year festivities,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2025,4,MEDIUM,62.0,0.6196,0.647,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2025,4,MEDIUM,62.9,0.6287,0.582,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2025,4,MEDIUM,65.1,0.6509,0.658,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2025,4,MEDIUM,62.3,0.6234,0.694,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2025,4,MEDIUM,66.6,0.6656,0.663,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2025,4,MEDIUM,52.8,0.5283,0.678,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2025,4,MEDIUM,54.7,0.5471,0.731,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2025,4,MEDIUM,54.0,0.5398,0.619,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2025,4,MEDIUM,45.6,0.4562,0.642,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2025,4,MEDIUM,55.2,0.5515,0.716,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2025,4,MEDIUM,59.5,0.595,0.742,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2025,4,MEDIUM,51.6,0.5159,0.624,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2025,4,MEDIUM,42.7,0.4272,0.551,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2025,4,MEDIUM,60.4,0.6039,0.654,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2025,4,MEDIUM,51.5,0.5145,0.572,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2025,5,LOW,34.4,0.3441,0.55,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2025,5,LOW,39.5,0.3948,0.36,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2025,5,LOW,34.6,0.3457,0.434,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2025,5,MEDIUM,43.3,0.4326,0.647,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2025,5,MEDIUM,54.4,0.5436,0.692,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2025,5,LOW,32.8,0.3277,0.518,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2025,5,LOW,31.6,0.3157,0.384,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2025,5,LOW,33.9,0.3386,0.454,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2025,5,HIGH,78.1,0.7805,0.819,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2025,5,HIGH,78.8,0.7877,0.811,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2025,5,HIGH,79.6,0.7965,0.787,1,0,Vesak Poya pilgrimage surge,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2025,5,MEDIUM,67.9,0.6789,0.617,0,0,Vesak Poya pilgrimage,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2025,5,MEDIUM,53.0,0.5304,0.656,0,0,Vesak at the Golden Cave Temple,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2025,5,MEDIUM,49.4,0.4936,0.74,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2025,5,LOW,39.0,0.3904,0.515,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2025,5,MEDIUM,63.7,0.6374,0.526,0,0,Season closes at Vesak Poya,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2025,5,MEDIUM,41.3,0.4128,0.628,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2025,5,MEDIUM,48.3,0.4834,0.603,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2025,5,MEDIUM,49.1,0.4911,0.755,1,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2025,5,LOW,36.6,0.3664,0.526,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2025,6,LOW,33.2,0.3315,0.382,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2025,6,LOW,34.1,0.3408,0.479,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2025,6,LOW,28.2,0.2817,0.493,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2025,6,MEDIUM,51.4,0.5138,0.628,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2025,6,MEDIUM,41.4,0.4142,0.677,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2025,6,LOW,24.5,0.2455,0.52,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2025,6,LOW,26.5,0.2649,0.487,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2025,6,LOW,26.8,0.2677,0.431,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2025,6,HIGH,86.4,0.8639,0.745,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2025,6,HIGH,83.7,0.837,0.809,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2025,6,HIGH,92.5,0.9252,0.883,1,0,Poson Poya - peak pilgrimage of the year,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2025,6,HIGH,72.4,0.7236,0.735,0,0,Poson Poya pilgrimage,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2025,6,MEDIUM,44.3,0.4426,0.686,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2025,6,MEDIUM,67.4,0.6739,0.755,1,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2025,6,LOW,37.6,0.3763,0.552,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2025,6,LOW,5.1,0.0505,0.444,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2025,6,LOW,34.0,0.3405,0.474,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2025,6,MEDIUM,54.9,0.549,0.716,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2025,6,MEDIUM,50.3,0.5029,0.659,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2025,6,LOW,31.4,0.3142,0.447,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2025,7,MEDIUM,52.8,0.528,0.547,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2025,7,MEDIUM,54.1,0.5409,0.695,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2025,7,MEDIUM,45.4,0.4538,0.639,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2025,7,HIGH,88.1,0.8808,0.841,1,0,Esala Perahera festival,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2025,7,MEDIUM,50.6,0.506,0.603,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2025,7,LOW,35.3,0.3534,0.391,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2025,7,MEDIUM,40.8,0.4082,0.548,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2025,7,LOW,40.0,0.3996,0.478,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2025,7,HIGH,89.1,0.8913,0.879,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2025,7,HIGH,88.8,0.8883,0.881,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2025,7,MEDIUM,63.6,0.6356,0.573,0,0,Esala season pilgrimage,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2025,7,MEDIUM,53.3,0.5328,0.652,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2025,7,MEDIUM,46.2,0.4616,0.606,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2025,7,HIGH,78.7,0.7873,0.775,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2025,7,MEDIUM,48.5,0.4847,0.566,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2025,7,LOW,4.8,0.0477,0.369,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2025,7,MEDIUM,45.7,0.4566,0.713,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2025,7,HIGH,74.3,0.743,0.95,1,0,Nallur Kandaswamy festival,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2025,7,MEDIUM,56.4,0.5636,0.661,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2025,7,MEDIUM,40.2,0.402,0.692,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2025,8,MEDIUM,53.4,0.5342,0.657,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2025,8,MEDIUM,67.7,0.6768,0.644,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2025,8,MEDIUM,50.8,0.5076,0.608,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2025,8,HIGH,91.8,0.9184,0.926,1,0,Esala Perahera festival,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2025,8,MEDIUM,53.3,0.5328,0.759,1,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2025,8,LOW,39.3,0.3934,0.416,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2025,8,MEDIUM,43.3,0.4333,0.708,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2025,8,MEDIUM,41.2,0.4124,0.556,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2025,8,HIGH,81.9,0.8191,0.805,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2025,8,HIGH,77.7,0.7771,0.857,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2025,8,MEDIUM,68.6,0.686,0.57,0,0,Esala season pilgrimage,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2025,8,MEDIUM,59.1,0.591,0.687,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2025,8,MEDIUM,49.3,0.4934,0.715,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2025,8,HIGH,83.3,0.8334,0.848,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2025,8,MEDIUM,51.8,0.5182,0.55,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2025,8,LOW,6.1,0.0613,0.462,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2025,8,MEDIUM,52.7,0.5271,0.573,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2025,8,MEDIUM,66.2,0.6622,0.713,0,0,Nallur Kandaswamy festival,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2025,8,MEDIUM,55.9,0.5589,0.691,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2025,8,MEDIUM,45.1,0.4506,0.652,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2025,9,LOW,39.8,0.3978,0.419,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2025,9,MEDIUM,42.2,0.422,0.622,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2025,9,LOW,37.2,0.3717,0.431,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2025,9,MEDIUM,48.5,0.4853,0.621,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2025,9,MEDIUM,40.4,0.4039,0.596,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2025,9,LOW,31.7,0.317,0.424,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2025,9,LOW,37.5,0.3753,0.462,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2025,9,LOW,33.7,0.3365,0.361,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2025,9,HIGH,73.0,0.7296,0.873,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2025,9,MEDIUM,62.3,0.6226,0.714,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2025,9,LOW,31.2,0.3117,0.535,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2025,9,LOW,31.2,0.3122,0.428,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2025,9,LOW,34.2,0.3422,0.537,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Yala,2025,9,HIGH,75.5,0.7553,0.789,1,0,,redirect,Ensemble_SARIMA_LSTM_SocialTrend
Pinnawala,2025,9,LOW,37.2,0.372,0.433,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Adams Peak,2025,9,LOW,5.6,0.056,0.395,0,1,,avoid_travel,Ensemble_SARIMA_LSTM_SocialTrend
Horton Plains,2025,9,LOW,36.1,0.3609,0.404,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Jaffna,2025,9,MEDIUM,44.9,0.4492,0.664,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Colombo,2025,9,MEDIUM,56.0,0.5603,0.59,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Negombo,2025,9,LOW,39.9,0.3987,0.437,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Sigiriya,2025,10,LOW,39.9,0.399,0.49,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Ella,2025,10,MEDIUM,42.5,0.4247,0.673,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Galle Fort,2025,10,MEDIUM,48.4,0.484,0.68,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Kandy,2025,10,MEDIUM,45.7,0.4565,0.797,1,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Nuwara Eliya,2025,10,LOW,38.7,0.3872,0.418,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Mirissa,2025,10,MEDIUM,40.7,0.4069,0.617,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Unawatuna,2025,10,MEDIUM,43.6,0.4357,0.721,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Bentota,2025,10,MEDIUM,45.0,0.4498,0.616,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Arugam Bay,2025,10,MEDIUM,52.7,0.5271,0.678,0,0,,monitor,Ensemble_SARIMA_LSTM_SocialTrend
Trincomalee,2025,10,LOW,38.9,0.389,0.488,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Anuradhapura,2025,10,LOW,30.3,0.303,0.359,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Polonnaruwa,2025,10,LOW,28.0,0.2801,0.558,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
Dambulla,2025,10,LOW,36.8,0.3684,0.427,0,0,,promote,Ensemble_SARIMA_LSTM_SocialTrend
